Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
Georgina,243.9,"464,700",5.45%,249.7,"470,800",5.27%,248.3,"489,500",5.93%,-,-,-,-,-,-
King,225.1,"941,700",1.26%,224.9,"935,600",0.76%,227.4,"532,600",4.07%,-,-,-,247.9,"678,100",9.11%
Markham,271.0,"937,800",5.41%,286.0,"1,176,600",4.19%,274.4,"820,700",5.13%,247.9,"658,900",6.39%,238.0,"569,700",12.11%
Newmarket,240.0,"707,200",6.43%,238.4,"803,600",5.63%,236.3,"556,600",5.77%,240.4,"499,100",6.75%,276.7,"466,100",6.06%
Richmond Hill,277.0,"994,300",5.68%,292.4,"1,242,600",5.87%,271.2,"824,200",5.94%,236.9,"600,600",1.37%,249.5,"507,700",9.53%
Vaughan,264.7,"957,100",9.61%,254.8,"1,059,200",9.54%,270.0,"817,900",12.08%,274.4,"746,100",3.59%,245.6,"566,700",11.08%
Whitchurch-Stouffville,269.3,"928,000",7.38%,265.1,"951,000",6.94%,241.5,"663,300",7.72%,236.4,"424,300",13.00%,264.5,"587,700",8.89%
Durham Region,255.0,"595,600",9.30%,248.6,"646,000",8.80%,264.1,"527,500",10.23%,266.6,"422,800",9.22%,258.6,"438,800",10.94%
Ajax,257.8,"634,300",7.78%,255.5,"685,400",7.49%,264.5,"570,800",8.18%,247.1,"451,700",6.65%,250.4,"405,900",11.84%
Brock,206.2,"375,100",5.04%,207.3,"378,300",4.96%,-,-,-,-,-,-,-,-,-
Clarington,252.7,"533,700",9.25%,244.1,"587,800",8.88%,252.6,"482,500",10.64%,289.3,"453,200",6.20%,236.4,"350,100",9.80%
Oshawa,264.8,"505,100",11.73%,254.6,"543,300",11.62%,283.0,"473,700",12.75%,289.2,"359,100",9.21%,253.6,"351,600",13.06%
Pickering,258.2,"691,800",9.22%,249.7,"777,700",8.33%,264.5,"617,200",10.25%,259.8,"463,900",9.25%,293.1,"546,800",10.65%
Scugog,229.3,"598,700",9.61%,236.6,"612,900",9.18%,218.9,"458,100",3.84%,-,-,-,-,-,-
Uxbridge,226.2,"691,400",0.62%,225.0,"694,800",0.63%,231.4,"567,800",3.49%,-,-,-,-,-,-
Whitby,250.3,"651,400",8.83%,249.5,"717,600",8.15%,257.0,"566,200",9.64%,215.3,"392,000",8.25%,237.1,"429,700",9.36%
Dufferin County,274.6,"629,400",7.10%,286.5,"652,900",7.02%,266.2,"498,800",6.95%,-,-,-,-,-,-
Orangeville,274.6,"629,400",7.10%,286.5,"652,900",7.02%,266.2,"498,800",6.95%,-,-,-,-,-,-
Simcoe County,247.7,"542,700",1.77%,253.2,"570,700",5.68%,269.9,"500,300",8.52%,-,-,-,-,-,-
Adjala-Tosorontio,233.0,"701,100",6.59%,233.0,"702,800",6.68%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,272.1,"663,100",9.94%,250.7,"685,800",7.97%,278.4,"578,600",8.71%,-,-,-,-,-,-
Essa,265.4,"514,400",6.29%,260.0,"524,500",4.80%,276.0,"428,700",8.83%,-,-,-,-,-,-
Innisfil,248.3,"478,800",-1.59%,272.1,"523,900",7.46%,270.1,"412,900",8.21%,-,-,-,-,-,-
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Tecumseth,237.5,"564,300",8.05%,231.0,"585,900",8.15%,251.9,"456,700",9.81%,-,-,-,-,-,-
