Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
Durham Region,234.3,"$547,200",11.04%,231.4,"$601,300",10.88%,238.4,"$476,100",8.71%,235.4,"$373,300",13.72%,229.5,"$391,300",14.52%
Ajax,237.5,"$585,300",8.50%,237.4,"$636,900",7.91%,241.7,"$521,600",8.73%,227.3,"$415,500",9.33%,214.0,"$346,800",19.42%
Brock,199.3,"$362,500",19.48%,200.5,"$365,900",19.56%,-,-,-,-,-,-,-,-,-
Clarington,222.8,"$470,300",7.58%,216.6,"$521,600",7.02%,219.7,"$419,700",2.14%,256.8,"$402,300",19.61%,205.6,"$304,800",17.02%
Oshawa,236.7,"$450,700",12.50%,230.7,"$492,300",11.56%,248.6,"$416,100",11.93%,247.2,"$307,000",20.82%,218.1,"$255,700",10.71%
Pickering,242.7,"$650,900",11.28%,239.0,"$744,600",11.06%,247.2,"$576,900",11.30%,232.6,"$415,300",9.25%,266.0,"$494,400",14.80%
Scugog,233.3,"$609,100",23.31%,241.2,"$624,800",24.07%,220.3,"$461,100",18.12%,-,-,-,-,-,-
Uxbridge,232.9,"$711,900",19.68%,231.5,"$714,900",19.58%,230.9,"$566,600",22.23%,-,-,-,-,-,-
Whitby,235.4,"$613,000",11.04%,236.6,"$680,500",10.66%,236.8,"$521,700",8.92%,209.9,"$382,200",6.44%,215.4,"$390,500",14.64%
Dufferin County,243.8,"$558,800",19.33%,254.8,"$580,700",18.95%,239.5,"$448,800",20.59%,-,-,-,-,-,-
Orangeville,243.8,"$558,800",19.33%,254.8,"$580,700",18.95%,239.5,"$448,800",20.59%,-,-,-,-,-,-
Simcoe County,249.2,"$559,400",13.07%,245.1,"$569,800",13.05%,250.0,"$468,400",13.95%,-,-,-,-,-,-
Adjala-Tosorontio,238.0,"$716,200",13.28%,238.0,"$717,800",13.28%,-,-,-,-,-,-,-,-,-
Bradford West,261.4,"$637,100",11.42%,246.6,"$674,700",11.74%,262.9,"$546,400",13.08%,-,-,-,-,-,-
EGswsiallimbury,245.6,"$469,200",12.20%,245.8,"$490,100",10.77%,245.8,"$382,800",14.43%,-,-,-,-,-,-
Innisfil,259.7,"$502,700",15.12%,259.7,"$501,900",14.81%,260.3,"$398,000",20.57%,-,-,-,-,-,-
New Tecumseth,226.1,"$537,200",13.28%,221.4,"$561,100",11.48%,231.9,"$420,300",13.12%,-,-,-,-,-,-
