,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C07,335.0,"1,145,000",8.80%,355.4,"1,692,000",7.96%,287.9,"1,085,700",11.07%,307.0,"865,300",8.33%,328.8,"685,200",8.91%
Toronto C08,306.7,"796,400",2.61%,319.3,"1,869,600",3.00%,340.9,"1,626,300",10.54%,338.9,"876,400",8.41%,303.4,"649,900",2.02%
Toronto C09,263.4,"1,889,600",10.91%,271.6,"3,501,700",17.42%,274.5,"2,598,100",15.38%,309.9,"1,830,300",7.38%,248.3,"822,600",6.48%
Toronto C10,317.9,"1,256,500",6.50%,311.3,"1,922,000",9.96%,304.8,"1,505,900",12.14%,290.6,"974,100",4.12%,323.7,"773,000",5.30%
Toronto C11,365.9,"1,327,400",11.32%,335.1,"2,412,700",17.62%,364.8,"1,691,600",17.37%,312.6,"541,500",23.66%,383.3,"556,500",6.98%
Toronto C12,280.6,"2,424,200",10.87%,277.5,"3,008,700",15.53%,336.3,"1,382,700",15.65%,250.2,"1,001,000",13.26%,304.7,"955,300",1.33%
Toronto C13,322.6,"1,208,100",13.55%,327.3,"1,822,100",18.20%,316.3,"986,400",24.19%,296.6,"857,500",12.69%,318.5,"650,700",8.93%
Toronto C14,316.9,"1,075,700",5.11%,364.1,"2,190,300",10.30%,285.5,"1,474,100",13.70%,328.7,"885,200",0.37%,304.2,"766,100",3.72%
Toronto C15,326.8,"1,058,300",9.89%,342.4,"1,607,700",11.17%,290.1,"943,200",14.75%,330.9,"792,000",10.45%,323.6,"745,000",8.74%
Toronto E01,403.4,"1,255,600",8.56%,415.0,"1,461,900",9.82%,420.7,"1,326,800",9.50%,490.1,"896,400",12.00%,311.4,"696,600",1.33%
Toronto E02,366.5,"1,368,300",15.07%,327.0,"1,479,800",19.87%,390.5,"1,306,800",16.22%,381.9,"1,100,000",10.76%,317.3,"901,600",5.94%
Toronto E03,352.6,"1,096,900",11.62%,361.5,"1,228,800",12.86%,341.5,"1,139,800",11.42%,-,-,-,327.3,"489,200",8.13%
Toronto E04,347.0,"855,800",13.99%,329.3,"970,800",15.63%,345.4,"832,400",16.73%,307.3,"653,400",10.58%,396.9,"605,300",13.46%
Toronto E05,311.0,"826,300",15.70%,328.4,"1,156,500",16.70%,321.3,"885,400",18.69%,340.1,"739,600",17.93%,277.4,"569,400",11.58%
Toronto E06,350.5,"974,700",15.37%,360.6,"1,030,100",17.27%,363.9,"865,500",17.88%,323.2,"714,300",10.80%,306.4,"630,800",8.54%
Toronto E07,344.3,"844,000",12.92%,345.5,"1,132,400",14.10%,339.5,"887,700",15.12%,353.4,"765,600",19.31%,340.9,"583,800",10.57%
Toronto E08,349.1,"804,800",16.21%,340.3,"1,060,700",18.12%,313.4,"812,500",20.77%,320.3,"587,300",15.26%,371.9,"507,400",12.80%
Toronto E09,338.7,"808,700",13.58%,335.2,"951,700",17.70%,322.3,"788,300",16.19%,367.2,"661,100",18.49%,339.4,"636,600",9.17%
Toronto E10,351.2,"984,900",19.54%,337.4,"1,081,000",21.50%,340.5,"883,000",20.74%,397.2,"647,900",18.14%,334.0,"538,900",12.04%
Toronto E11,369.4,"787,800",15.22%,356.1,"990,400",18.07%,368.4,"834,500",20.87%,295.7,"580,300",15.60%,456.1,"578,100",12.92%
