,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Whitchurch-Stouffville,355.9,"1,239,900",25.23%,354.4,"1,307,200",26.44%,359.4,"896,700",23.25%,389.0,"690,500",40.43%,290.6,"581,500",11.81%
Durham Region,353.5,"825,400",34.10%,344.0,"897,700",34.64%,367.8,"733,500",35.22%,375.9,"591,400",33.11%,342.6,"568,500",25.54%
Ajax,345.6,"852,300",29.10%,343.9,"922,600",29.43%,359.0,"774,700",30.59%,340.2,"639,300",29.11%,307.7,"494,200",24.83%
Brock,332.4,"560,600",41.57%,332.2,"565,900",41.36%,347.2,"700,300",53.90%,-,-,-,-,-,-
Clarington,352.4,"744,300",38.58%,342.1,"823,900",38.78%,355.9,"679,900",40.73%,367.0,"592,800",31.21%,296.6,"437,100",25.73%
Oshawa,369.2,"702,100",36.24%,353.1,"753,600",36.07%,402.8,"674,100",38.71%,408.4,"517,600",37.28%,342.3,"387,200",25.02%
Pickering,354.5,"945,600",29.24%,336.0,"1,046,700",30.28%,359.0,"837,700",30.26%,357.6,"610,200",27.76%,436.8,"822,800",27.46%
Scugog,334.2,"858,000",37.59%,328.8,"871,600",37.80%,335.3,"623,300",41.96%,-,-,-,-,-,-
Uxbridge,319.8,"1,065,500",36.26%,321.2,"1,109,400",37.74%,313.2,"726,300",37.07%,316.5,"576,300",25.30%,267.5,"638,800",20.93%
Whitby,347.0,"901,500",33.10%,345.6,"994,000",33.38%,358.5,"789,800",33.82%,370.7,"622,900",37.55%,275.2,"510,900",23.85%
Dufferin County,372.6,"822,300",29.55%,392.6,"894,700",30.82%,373.8,"700,500",31.62%,336.2,"444,500",32.99%,335.7,"492,500",4.84%
Orangeville,372.6,"822,300",29.55%,392.6,"894,700",30.82%,373.8,"700,500",31.62%,336.2,"444,500",32.99%,335.7,"492,500",4.84%
Simcoe County,337.6,"737,500",34.07%,328.9,"754,600",37.21%,378.6,"707,100",38.28%,305.6,"482,500",27.23%,307.8,"486,800",14.30%
Adjala-Tosorontio,319.6,"854,500",34.97%,319.9,"856,500",34.87%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,349.6,"875,200",30.01%,326.4,"931,300",32.15%,384.9,"811,000",33.00%,338.2,"549,200",26.24%,288.4,"486,500",14.08%
Essa,359.2,"719,100",37.68%,346.5,"733,200",46.39%,390.1,"615,600",53.28%,345.6,"551,200",27.81%,-,-,-
Innisfil,337.6,"665,800",36.46%,336.1,"683,300",37.41%,393.5,"601,700",42.99%,268.9,"226,100",24.38%,295.8,"581,200",13.29%
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Tecumseth,315.9,"742,100",31.24%,311.4,"810,700",34.51%,355.8,"647,900",38.71%,300.7,"607,700",24.36%,323.9,"505,200",17.14%
