,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C10,317.0,"1,253,000",2.49%,301.8,"1,863,300",7.44%,292.2,"1,443,600",8.58%,284.8,"954,600",4.59%,326.2,"779,000",0.31%
Toronto C11,327.4,"1,159,300",11.89%,264.9,"1,804,500",19.70%,303.9,"1,410,100",19.46%,287.4,"497,900",25.61%,374.1,"543,200",8.15%
Toronto C12,260.1,"2,219,200",11.77%,242.5,"2,599,000",15.04%,336.1,"1,406,700",21.16%,238.0,"952,200",14.75%,309.9,"971,600",4.41%
Toronto C13,308.9,"1,122,400",8.69%,307.7,"1,640,900",21.05%,292.7,"933,900",28.04%,279.3,"807,400",12.53%,312.9,"639,200",-0.03%
Toronto C14,304.8,"996,800",1.33%,312.0,"1,687,800",13.74%,246.0,"1,198,000",12.28%,345.7,"931,000",1.53%,298.7,"752,200",-1.26%
Toronto C15,295.7,"959,600",7.57%,339.3,"1,593,100",14.13%,284.6,"925,300",16.02%,323.3,"773,800",9.78%,276.3,"642,500",3.37%
Toronto E01,420.5,"1,309,500",11.60%,421.6,"1,487,700",17.27%,430.9,"1,359,200",15.83%,479.8,"877,500",12.60%,372.9,"816,800",-3.32%
Toronto E02,356.7,"1,335,800",13.96%,318.7,"1,452,000",16.36%,391.3,"1,310,300",16.35%,370.5,"1,067,100",7.80%,283.8,"775,900",3.77%
Toronto E03,344.8,"1,060,600",18.45%,355.6,"1,198,900",19.61%,333.3,"1,091,500",19.72%,-,-,-,315.4,"460,900",12.44%
Toronto E04,352.7,"871,700",16.60%,338.4,"997,600",20.56%,353.0,"850,700",18.98%,304.3,"659,700",9.90%,399.2,"614,700",14.94%
Toronto E05,318.8,"836,500",13.69%,332.8,"1,172,000",18.94%,323.1,"890,400",20.20%,323.5,"703,500",16.07%,301.5,"592,200",6.88%
Toronto E06,347.5,"969,000",20.91%,364.8,"1,042,100",24.42%,362.6,"862,400",24.73%,-,-,-,270.0,"571,000",5.30%
Toronto E07,333.6,"817,700",10.50%,338.0,"1,107,900",15.32%,329.3,"861,000",17.27%,329.9,"714,700",18.71%,331.6,"567,900",5.54%
Toronto E08,352.3,"850,100",18.54%,343.7,"1,071,300",23.59%,308.2,"799,000",25.28%,351.9,"718,300",15.87%,369.1,"588,900",11.44%
Toronto E09,335.5,"802,100",12.43%,339.0,"962,500",19.92%,327.3,"800,500",19.85%,363.1,"674,800",10.36%,328.8,"616,700",5.93%
Toronto E10,349.5,"979,500",18.80%,338.7,"1,085,200",22.58%,346.5,"898,500",25.09%,394.0,"687,900",10.67%,313.9,"506,400",7.10%
Toronto E11,358.1,"783,200",15.67%,356.2,"990,700",16.33%,366.2,"829,500",18.90%,283.7,"556,800",20.06%,423.2,"631,600",15.22%
