,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C09,261.4,"1,875,300",15.87%,267.0,"3,442,400",21.81%,267.9,"2,535,700",18.17%,304.7,"1,799,600",5.32%,247.7,"820,600",12.39%
Toronto C10,323.7,"1,279,500",8.44%,313.1,"1,933,100",13.85%,304.1,"1,502,400",16.69%,292.2,"979,400",3.07%,331.5,"791,600",6.76%
Toronto C11,360.2,"1,306,700",11.97%,331.7,"2,388,200",21.06%,362.3,"1,680,000",21.82%,292.8,"507,200",24.44%,377.7,"548,400",6.76%
Toronto C12,284.3,"2,456,100",13.49%,283.5,"3,073,800",17.59%,335.5,"1,379,400",18.26%,245.3,"981,400",16.98%,308.6,"967,600",3.91%
Toronto C13,320.4,"1,199,800",9.65%,328.0,"1,826,000",20.01%,310.8,"969,300",24.87%,293.5,"848,500",16.42%,314.0,"641,500",0.71%
Toronto C14,316.6,"1,074,700",4.01%,361.1,"2,172,300",13.27%,277.2,"1,431,200",15.26%,342.4,"922,100",4.74%,303.5,"764,300",1.27%
Toronto C15,324.2,"1,049,900",7.74%,342.1,"1,606,200",12.31%,287.6,"935,000",15.59%,330.5,"791,100",12.34%,319.7,"736,000",4.75%
Toronto E01,411.6,"1,281,100",14.08%,423.0,"1,490,100",15.64%,430.4,"1,357,400",16.39%,494.3,"904,100",16.44%,317.4,"710,000",2.55%
Toronto E02,365.5,"1,364,500",15.19%,321.4,"1,454,500",18.16%,389.1,"1,302,100",15.80%,386.4,"1,112,900",14.83%,321.7,"914,100",7.38%
Toronto E03,360.0,"1,119,900",15.98%,369.4,"1,255,700",17.05%,349.4,"1,166,200",16.51%,-,-,-,328.3,"490,700",10.58%
Toronto E04,349.0,"860,800",17.55%,335.1,"987,900",20.58%,346.7,"835,500",18.49%,304.0,"646,400",12.47%,394.1,"601,000",16.98%
Toronto E05,309.2,"821,600",13.97%,331.4,"1,167,100",20.20%,321.7,"886,500",21.08%,333.1,"724,400",16.67%,274.2,"562,800",4.70%
Toronto E06,361.7,"1,005,900",23.57%,374.2,"1,068,900",26.98%,375.3,"892,600",28.57%,322.6,"712,900",12.56%,307.2,"632,400",10.15%
Toronto E07,342.3,"839,100",14.14%,346.3,"1,135,100",17.43%,335.2,"876,400",18.15%,339.9,"736,300",16.36%,339.9,"582,100",11.19%
Toronto E08,353.3,"814,500",20.83%,351.6,"1,095,900",25.57%,318.7,"826,200",27.43%,312.7,"573,300",18.31%,367.1,"500,900",13.62%
Toronto E09,339.2,"809,900",13.90%,339.5,"964,000",21.42%,325.1,"795,100",19.96%,358.2,"644,900",11.52%,337.2,"632,500",7.70%
Toronto E10,351.8,"986,600",19.42%,340.5,"1,091,000",23.10%,341.9,"886,600",25.01%,389.0,"634,600",12.10%,327.6,"528,500",8.73%
Toronto E11,368.4,"785,700",16.40%,358.1,"996,000",19.29%,369.5,"837,000",22.72%,285.1,"559,500",17.37%,455.3,"577,100",14.60%
