,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C15,330.4,"1,070,000",11.25%,346.5,"1,626,900",12.54%,295.1,"959,400",16.32%,337.7,"808,300",13.25%,326.3,"751,200",9.87%
Toronto E01,412.6,"1,284,200",10.56%,425.1,"1,497,500",10.42%,435.5,"1,373,500",11.70%,499.2,"913,000",14.26%,302.2,"676,000",2.79%
Toronto E02,361.5,"1,349,600",10.62%,321.6,"1,455,400",12.84%,382.5,"1,280,000",10.55%,385.7,"1,110,900",12.98%,314.8,"894,500",4.34%
Toronto E03,352.1,"1,095,300",10.07%,360.3,"1,224,700",11.20%,339.1,"1,131,800",9.74%,-,-,-,328.5,"491,000",6.35%
Toronto E04,353.0,"870,600",12.96%,341.6,"1,007,100",16.59%,353.4,"851,700",13.96%,308.3,"655,500",11.54%,391.1,"596,400",9.06%
Toronto E05,318.4,"846,000",16.89%,344.8,"1,214,200",18.57%,337.6,"930,300",19.46%,340.4,"740,300",17.30%,276.9,"568,400",12.29%
Toronto E06,349.5,"971,900",11.88%,359.9,"1,028,100",13.60%,355.6,"845,700",12.64%,329.0,"727,100",11.60%,305.3,"628,500",5.82%
Toronto E07,353.4,"866,300",16.52%,359.2,"1,177,300",19.02%,351.9,"920,100",19.41%,352.5,"763,600",17.93%,347.1,"594,400",13.36%
Toronto E08,353.2,"814,300",14.90%,340.7,"1,062,000",15.49%,303.1,"785,800",13.39%,325.2,"596,300",18.21%,383.1,"522,700",12.91%
Toronto E09,346.0,"826,200",14.99%,346.9,"985,000",18.19%,334.5,"818,100",15.90%,372.7,"671,000",17.28%,342.2,"641,900",11.50%
Toronto E10,361.5,"1,013,800",19.46%,347.9,"1,114,700",21.98%,351.6,"911,700",21.83%,409.1,"667,400",17.90%,338.0,"545,300",9.07%
Toronto E11,372.1,"793,600",14.67%,359.6,"1,000,200",15.55%,370.8,"839,900",18.09%,297.0,"582,900",18.23%,457.1,"579,400",13.26%
