Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
Clarington,199.1,"$421,300",20.52%,195.6,"$470,000",23.72%,206.1,"$393,400",21.59%,169.1,"$302,700",0.30%,186.3,"$263,600",14.65%,2016,08
Oshawa,203.9,"$390,500",24.71%,202.4,"$431,100",24.02%,217.7,"$364,600",25.84%,166.2,"$222,400",20.09%,174.4,"$235,300",14.14%,2016,08
Pickering,210.4,"$568,900",16.89%,211.2,"$660,000",17.14%,219.8,"$512,400",16.54%,207.5,"$372,500",19.73%,190.9,"$373,800",13.83%,2016,08
Scugog,185.7,"$484,500",17.76%,190.7,"$493,700",17.79%,186.0,"$389,300",25.34%,-,-,-,-,-,-,2016,08
Uxbridge,191.9,"$586,800",20.62%,191.5,"$593,100",20.21%,189.4,"$464,800",24.44%,-,-,-,-,-,-,2016,08
Whitby,208.6,"$545,300",20.72%,210.4,"$604,500",20.92%,213.7,"$470,800",20.87%,193.5,"$351,400",22.55%,171.5,"$334,600",11.29%,2016,08
Dufferin County,201.2,"$461,200",19.26%,210.1,"$478,800",19.58%,195.3,"$366,000",17.23%,-,-,-,-,-,-,2016,08
Orangeville,201.2,"$461,200",19.26%,210.1,"$478,800",19.58%,195.3,"$366,000",17.23%,-,-,-,-,-,-,2016,08
Simcoe County,203.5,"$433,900",21.42%,197.9,"$438,500",21.49%,210.5,"$403,900",21.82%,-,-,-,-,-,-,2016,08
Adjala-Tosorontio,165.0,"$585,600",17.19%,165.0,"$585,600",17.19%,-,-,-,-,-,-,-,-,-,2016,08
Bradford West,228.2,"$567,100",21.71%,208.1,"$637,400",23.06%,229.4,"$476,900",20.36%,-,-,-,-,-,-,2016,08
GEswsiallimbury,198.9,"$465,800",24.62%,193.1,"$488,300",21.68%,198.7,"$338,600",23.80%,-,-,-,-,-,-,2016,08
Innisfil,201.0,"$371,800",20.87%,201.8,"$373,900",20.98%,215.2,"$334,900",21.38%,-,-,-,-,-,-,2016,08
New Tecumseth,184.7,"$426,700",22.97%,179.1,"$461,400",22.17%,193.5,"$369,400",23.88%,-,-,-,-,-,-,2016,08
