Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
Brock,120.2,"$227,900",-7.68%,120.7,"$229,400",-8.70%,127.9,"$203,800",10.64%,-,-,-,-,-,-
Clarington,125.8,"$266,200",6.61%,122.3,"$293,900",5.89%,129.3,"$246,900",8.47%,143.9,"$257,600",10.02%,124.9,"$176,800",7.12%
Oshawa,123.1,"$235,600",6.58%,121.9,"$259,600",5.72%,127.4,"$213,400",8.61%,110.2,"$147,400",3.28%,132.8,"$158,900",-3.14%
Pickering,135.3,"$366,000",7.81%,139.8,"$437,300",10.60%,139.1,"$324,200",8.08%,125.8,"$226,900",0.64%,119.5,"$234,000",5.94%
Scugog,123.1,"$319,500",-3.68%,126.6,"$326,000",-2.31%,118.3,"$247,600",5.63%,-,-,-,-,-,-
Uxbridge,126.1,"$385,600",-2.93%,127.6,"$395,200",-5.13%,123.3,"$302,600",1.90%,-,-,-,-,-,-
Whitby,131.9,"$344,200",7.94%,130.5,"$374,900",8.21%,130.5,"$287,900",5.16%,121.7,"$223,100",3.66%,128.3,"$250,300",6.92%
Dufferin County,140.5,"$322,000",11.16%,145.2,"$330,900",9.34%,143.1,"$268,200",9.24%,-,-,-,-,-,-
Orangeville,140.5,"$322,000",11.16%,145.2,"$330,900",9.34%,143.1,"$268,200",9.24%,-,-,-,-,-,-
Simcoe County,135.0,"$286,900",7.40%,132.7,"$292,700",7.89%,137.6,"$264,200",5.44%,-,-,-,-,-,-
Adjala-Tosorontio,129.0,"$406,300",8.68%,128.6,"$405,500",8.61%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,143.6,"$356,900",7.32%,129.9,"$397,900",7.62%,147.1,"$305,800",6.21%,-,-,-,-,-,-
Essa,134.7,"$305,500",5.32%,133.6,"$330,500",5.70%,136.3,"$232,200",4.36%,-,-,-,-,-,-
Innisfil,136.9,"$253,600",9.35%,137.5,"$255,200",9.56%,138.6,"$215,600",8.96%,-,-,-,-,-,-
New Tecumseth,124.4,"$287,300",4.10%,122.7,"$316,000",4.34%,128.5,"$245,800",3.71%,-,-,-,-,-,-
