"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
Georgina,175.9,"$365,200",10.21%,"188.0 $387,500 13.18%",191.5,"$377,400 12.19%",-,- -,-,-,-
King,192.2,"$814,700",11.36%,"195.4 $824,600 12.17%",209.9,"$491,600 8.98%",-,- -,-,-,-
Markham,218.8,"$754,600",12.96%,"230.1 $945,900 15.63%",224.4,"$668,300 13.39%",197.1,"$491,400 15.20%",165.4,"$381,200",4.35%
Newmarket,194.7,"$574,200",17.15%,"192.7 $648,600 17.50%",200.3,"$472,300 16.66%",191.7,"$387,000 13.70%",170.9,"$287,800",10.76%
Richmond Hill,225.2,"$816,600",15.90%,"240.2 $1,021,100 16.26%",228.2,"$691,900 13.99%",176.3,"$493,600 8.49%",162.0,"$337,400",8.65%
Vaughan,208.5,"$753,900",14.25%,"199.9 $832,200 13.58%",214.1,"$651,500 13.94%",191.9,"$522,000 10.16%",172.2,"$382,100",10.10%
Whitchurch-Stouffville,209.5,"$789,800",11.67%,"207.8 $797,300 10.95%",192.2,"$528,000 15.09%",-,- -,-,-,-
Durham Region,176.3,"$414,800",13.96%,"173.5 $452,300 13.25%",184.3,"$369,300 14.97%",160.2,"$261,800 9.65%",157.8,"$283,700",5.41%
Ajax,187.3,"$462,800",16.05%,"187.2 $501,300 16.56%",196.2,"$422,000 16.44%",176.9,"$323,400 17.15%",144.0,"$244,500",-0.69%
Brock,143.3,"$270,800",9.56%,"139.7 $264,600 6.24%",-,- -,-,- -,-,-,-
Clarington,180.6,"$382,100",21.21%,"166.8 $400,800 18.72%",180.9,"$345,300 18.24%",161.6,"$289,300 -2.18%",158.5,"$224,300",7.02%
Oshawa,171.2,"$327,800",14.29%,"170.8 $363,800 15.25%",179.0,"$299,800 15.04%",135.7,"$181,600 3.12%",159.9,"$215,700",7.82%
Pickering,178.7,"$483,200",10.44%,"177.1 $553,400 8.72%",189.6,"$442,000 13.67%",178.9,"$321,100 14.97%",168.2,"$329,300",8.66%
Scugog,149.7,"$390,600",-0.86%,"151.6 $392,500 -2.32%",159.6,"$334,000 13.03%",-,- -,-,-,-
Uxbridge,167.0,"$510,700",15.57%,"163.7 $507,000 13.05%",160.4,"$393,600 14.08%",-,- -,-,-,-
Whitby,174.1,"$455,100",11.39%,"174.3 $500,800 10.11%",178.0,"$392,100 11.60%",161.6,"$293,500 10.68%",149.0,"$290,700",1.64%
Dufferin County,177.4,"$406,600",16.10%,"186.0 $423,900 16.54%",171.8,"$322,000 14.30%",-,- -,-,-,-
Orangeville,177.4,"$406,600",16.10%,"186.0 $423,900 16.54%",171.8,"$322,000 14.30%",-,- -,-,-,-
Simcoe County,175.3,"$373,700",17.65%,"168.0 $372,300 16.18%",181.7,"$348,700 17.15%",-,- -,-,-,-
Adjala-Tosorontio,152.1,"$539,800",22.96%,"152.1 $539,800 22.96%",-,- -,-,- -,-,-,-
Bradford West,215.6,"$535,800",30.83%,"185.0 $566,700 24.08%",201.1,"$418,100 18.71%",-,- -,-,-,-
GEswsiallimbury,154.6,"$362,100",6.77%,"169.4 $428,400 18.88%",170.9,"$291,200 17.38%",-,- -,-,-,-
Innisfil,164.9,"$305,100",11.19%,"164.7 $305,200 11.06%",179.3,"$279,000 10.68%",-,- -,-,-,-
New Tecumseth,160.1,"$369,800",18.77%,"155.8 $401,300 18.66%",167.8,"$320,300 18.75%",-,- -,-,-,-
