"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
Durham Region,215.0,"$505,900",24.35%,"213.6 $556,900 24.84%",226.4,"$453,700 25.15%",197.1,"$322,100 20.70%",189.4,"$340,500",18.97%
Ajax,224.9,"$555,700",22.36%,"222.6 $596,100 22.11%",235.8,"$507,200 23.33%",215.4,"$393,800 21.69%",177.0,"$300,500",16.22%
Brock,164.1,"$310,100",15.97%,"164.8 $312,100 16.06%",-,- -,-,- -,-,-,-
Clarington,209.2,"$442,700",23.64%,"207.4 $498,400 28.74%",219.2,"$418,500 24.90%",172.6,"$309,000 0.47%",198.1,"$280,300",23.89%
Oshawa,212.7,"$407,300",29.07%,"210.7 $448,800 28.24%",225.5,"$377,700 29.15%",175.1,"$234,300 24.72%",178.6,"$240,900",16.50%
Pickering,219.7,"$594,100",21.38%,"220.3 $688,400 21.65%",229.4,"$534,700 21.76%",219.1,"$393,300 21.52%",200.0,"$391,600",20.19%
Scugog,190.6,"$497,300",16.86%,"195.9 $507,200 17.10%",186.4,"$390,100 18.27%",-,- -,-,-,-
Uxbridge,194.6,"$595,100",20.42%,"194.1 $601,100 20.26%",189.3,"$464,500 21.19%",-,- -,-,-,-
Whitby,217.4,"$568,300",25.01%,"219.2 $629,800 25.04%",222.8,"$490,800 25.24%",202.4,"$367,600 23.79%",180.0,"$351,200",16.35%
Dufferin County,209.1,"$479,300",22.35%,"218.5 $498,000 23.17%",202.6,"$379,700 21.03%",-,- -,-,-,-
Orangeville,209.1,"$479,300",22.35%,"218.5 $498,000 23.17%",202.6,"$379,700 21.03%",-,- -,-,-,-
Simcoe County,212.4,"$452,800",25.38%,"206.2 $456,900 26.27%",220.4,"$422,900 24.17%",-,- -,-,-,-
Adjala-Tosorontio,170.9,"$606,500",23.48%,"170.9 $606,500 23.48%",-,- -,-,- -,-,-,-
Bradford West,234.2,"$582,000",21.60%,"213.7 $654,600 23.74%",237.1,"$492,900 21.53%",-,- -,-,-,-
GEswsiallimbury,207.0,"$484,800",27.46%,"199.8 $505,300 25.11%",208.6,"$355,500 26.12%",-,- -,-,-,-
Innisfil,212.3,"$392,800",28.28%,"212.2 $393,200 28.61%",229.1,"$356,500 25.33%",-,- -,-,-,-
New Tecumseth,192.0,"$443,500",25.16%,"184.7 $475,800 23.88%",202.2,"$386,000 25.51%",-,- -,-,-,-
