"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
Aurora,246.8,"$794,400",26.63%,"248.1 $921,700 28.15%",250.8,"$648,600 22.64%",189.9,"$481,000 24.04%",192.7,"$398,500",13.89%
East Gwillimbury,209.0,"$677,400",19.43%,"211.5 $697,100 20.24%",233.4,"$494,100 25.75%",-,- -,-,-,-
Georgina,215.5,"$447,400",24.21%,"226.0 $465,800 24.24%",232.1,"$457,500 25.12%",-,- -,-,-,-
King,225.9,"$957,600",25.29%,"226.9 $957,500 25.08%",238.6,"$558,800 15.32%",-,- -,-,-,-
Markham,265.8,"$916,700",22.83%,"283.9 $1,167,100 26.63%",269.0,"$801,100 21.77%",225.5,"$562,200 13.32%",184.4,"$425,000",11.35%
Newmarket,231.7,"$683,300",22.27%,"236.2 $795,000 25.24%",241.0,"$568,300 22.83%",217.5,"$439,100 18.98%",197.6,"$332,800",15.02%
Richmond Hill,274.0,"$993,500",25.57%,"296.9 $1,262,100 27.53%",276.2,"$837,400 23.86%",201.7,"$564,800 16.45%",180.9,"$376,800",11.60%
Vaughan,244.3,"$883,400",21.42%,"239.5 $997,000 23.64%",256.4,"$780,200 23.57%",227.0,"$617,400 15.17%",184.8,"$410,100",8.32%
Whitchurch-Stouffville,256.7,"$967,800",24.13%,"255.8 $981,500 24.36%",229.4,"$630,200 23.27%",-,- -,-,-,-
Durham Region,210.4,"$495,100",22.75%,"209.0 $544,900 22.94%",222.2,"$445,300 23.86%",191.3,"$312,600 19.71%",185.9,"$334,200",14.75%
Ajax,220.8,"$545,600",20.79%,"218.8 $585,900 20.62%",232.6,"$500,300 22.36%",208.1,"$380,400 20.78%",173.0,"$293,800",12.12%
Brock,168.3,"$318,100",19.62%,"169.1 $320,300 19.42%",-,- -,-,- -,-,-,-
Clarington,205.8,"$435,500",25.56%,"202.2 $485,900 28.87%",214.4,"$409,300 27.09%",169.1,"$302,700 1.20%",193.3,"$273,500",18.73%
Oshawa,207.6,"$397,600",26.74%,"206.2 $439,200 25.96%",221.9,"$371,700 27.97%",169.8,"$227,200 22.95%",176.7,"$238,400",12.33%
Pickering,214.4,"$579,700",18.58%,"214.1 $669,100 18.68%",225.2,"$524,900 18.46%",213.0,"$382,300 20.89%",197.3,"$386,300",16.81%
Scugog,189.5,"$494,400",20.01%,"194.5 $503,600 19.99%",186.5,"$390,300 25.50%",-,- -,-,-,-
Uxbridge,193.5,"$591,700",22.31%,"193.4 $599,000 22.02%",188.9,"$463,600 25.43%",-,- -,-,-,-
Whitby,211.8,"$553,600",22.00%,"213.8 $614,200 21.82%",217.2,"$478,500 22.37%",197.0,"$357,800 22.74%",176.8,"$344,900",11.90%
Dufferin County,204.3,"$468,300",19.26%,"214.0 $487,700 20.16%",198.3,"$371,600 17.97%",-,- -,-,-,-
Orangeville,204.3,"$468,300",19.26%,"214.0 $487,700 20.16%",198.3,"$371,600 17.97%",-,- -,-,-,-
Simcoe County,208.5,"$444,500",23.08%,"202.1 $447,900 23.08%",216.8,"$416,000 23.39%",-,- -,-,-,-
Adjala-Tosorontio,168.2,"$596,900",17.87%,"168.2 $596,900 17.87%",-,- -,-,- -,-,-,-
Bradford West,231.9,"$576,300",21.54%,"211.3 $647,200 23.21%",232.8,"$484,000 20.25%",-,- -,-,-,-
EGswsiallimbury,203.5,"$476,600",25.00%,"196.2 $496,200 21.86%",204.6,"$348,600 24.08%",-,- -,-,-,-
Innisfil,207.1,"$383,100",24.38%,"206.8 $383,200 23.91%",225.7,"$351,200 26.94%",-,- -,-,-,-
New Tecumseth,188.5,"$435,400",23.12%,"182.3 $469,600 22.02%",199.1,"$380,100 24.13%",-,- -,-,-,-
