"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
Whitchurch-Stouffville,155.6,"$586,700 6.43%",155.7,"$597,500 11.61%",140.0,"$384,500 3.17%",-,- -,-,- -
Durham Region,131.0,"$308,200 6.59%",130.5,"$340,300 7.05%",134.9,"$270,200 7.40%",123.1,"$202,300 0.74%",126.4,"$226,100 3.69%"
Ajax,137.1,"$338,800 6.44%",138.4,"$370,700 7.20%",143.2,"$308,000 6.39%",126.5,"$231,200 0.00%",122.6,"$208,200 0.16%"
Brock,115.1,"$218,200 0.61%",115.2,"$218,900 -0.09%",129.5,"$206,400 10.12%",-,- -,-,- -
Clarington,127.4,"$269,600 6.08%",124.6,"$299,400 6.77%",131.5,"$251,100 8.95%",136.0,"$243,400 -3.27%",124.4,"$176,100 3.93%"
Oshawa,123.4,"$236,200 5.65%",122.8,"$261,500 5.95%",127.0,"$212,700 7.35%",107.6,"$144,000 -1.47%",133.7,"$160,000 -2.90%"
Pickering,137.7,"$372,500 7.24%",139.1,"$435,100 8.59%",141.7,"$330,300 7.35%",132.9,"$239,800 2.63%",126.5,"$247,700 8.21%"
Scugog,132.5,"$343,900 8.61%",136.1,"$350,500 9.85%",122.5,"$256,400 6.99%",-,- -,-,- -
Uxbridge,123.5,"$377,600 4.66%",124.2,"$384,700 2.39%",123.7,"$303,500 5.10%",-,- -,-,- -
Whitby,133.9,"$349,400 7.98%",133.2,"$382,600 8.12%",134.0,"$295,600 7.46%",128.5,"$235,600 4.39%",129.6,"$252,800 3.68%"
Dufferin County,140.4,"$321,800 8.00%",144.4,"$329,000 5.17%",142.6,"$267,300 5.63%",-,- -,-,- -
Orangeville,140.4,"$321,800 8.00%",144.4,"$329,000 5.17%",142.6,"$267,300 5.63%",-,- -,-,- -
Simcoe County,135.0,"$286,900 4.49%",132.0,"$291,100 3.69%",140.7,"$270,200 6.11%",-,- -,-,- -
Adjala-Tosorontio,126.8,"$399,400 6.20%",126.6,"$399,200 6.30%",-,- -,-,- -,-,- -
Bradford West Gwillimbury,144.2,"$358,400 8.10%",130.1,"$398,500 7.17%",149.1,"$310,000 7.97%",-,- -,-,- -
Essa,136.5,"$309,500 6.14%",134.1,"$331,700 5.51%",139.9,"$238,300 6.31%",-,- -,-,- -
Innisfil,134.9,"$249,900 1.66%",135.6,"$251,700 1.73%",140.7,"$218,900 2.10%",-,- -,-,- -
New Tecumseth,127.1,"$293,600 5.65%",124.5,"$320,700 5.15%",132.4,"$253,300 6.00%",-,- -,-,- -
