"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
Georgina,144.6,"$300,100 12.62%",149.3,"$307,600 13.54%",143.7,"$283,200 10.11%",-,- -,-,- -
King,149.9,"$635,500 9.34%",150.6,"$635,500 9.53%",-,- -,-,- -,-,- -
Markham,161.6,"$556,700 4.94%",163.9,"$674,000 5.20%",163.2,"$486,000 5.49%",150.4,"$373,600 7.28%",151.0,"$349,200 0.13%"
Newmarket,141.9,"$418,500 4.88%",139.1,"$468,300 6.51%",147.9,"$348,600 6.79%",155.4,"$313,800 14.86%",143.7,"$242,000 -7.71%"
Richmond Hill,162.3,"$587,600 5.39%",170.4,"$721,900 7.04%",165.5,"$501,300 6.91%",138.5,"$391,600 -0.07%",142.9,"$297,700 -0.28%"
Vaughan,155.7,"$562,800 7.01%",152.5,"$634,600 6.05%",159.2,"$484,600 7.93%",153.9,"$420,500 8.92%",139.0,"$308,500 0.87%"
Whitchurch-Stouffville,154.3,"$581,800 6.63%",153.9,"$590,600 10.48%",140.5,"$385,900 4.15%",-,- -,-,- -
Durham Region,131.0,"$308,200 6.68%",130.2,"$339,500 6.90%",134.4,"$269,200 7.09%",124.3,"$204,300 2.22%",125.6,"$224,700 2.11%"
Ajax,137.0,"$338,600 6.53%",137.9,"$369,300 7.23%",144.0,"$309,700 7.06%",124.4,"$227,300 -2.74%",122.2,"$207,500 -0.33%"
Brock,118.7,"$225,000 2.59%",119.1,"$226,300 2.14%",131.1,"$208,900 12.15%",-,- -,-,- -
Clarington,124.5,"$263,400 3.06%",121.0,"$290,800 3.51%",127.2,"$242,900 3.92%",141.5,"$253,300 2.39%",123.6,"$174,900 2.06%"
Oshawa,124.1,"$237,500 6.62%",123.1,"$262,100 6.40%",127.1,"$212,900 7.89%",112.2,"$150,100 4.86%",132.5,"$158,600 -5.96%"
Pickering,136.9,"$370,300 7.54%",138.4,"$432,900 9.23%",141.5,"$329,800 9.10%",130.9,"$236,100 0.85%",125.2,"$245,100 6.37%"
Scugog,132.9,"$344,900 9.02%",136.6,"$351,800 10.34%",122.7,"$256,800 7.54%",-,- -,-,- -
Uxbridge,125.9,"$385,000 5.62%",127.0,"$393,400 3.59%",125.4,"$307,700 6.18%",-,- -,-,- -
Whitby,134.6,"$351,200 8.37%",133.8,"$384,400 8.52%",133.7,"$295,000 6.96%",130.9,"$240,000 7.38%",128.8,"$251,200 1.58%"
Dufferin County,141.9,"$325,200 9.66%",145.9,"$332,500 6.65%",143.6,"$269,200 7.40%",-,- -,-,- -
Orangeville,141.9,"$325,200 9.66%",145.9,"$332,500 6.65%",143.6,"$269,200 7.40%",-,- -,-,- -
Simcoe County,136.8,"$290,700 4.75%",133.7,"$294,900 3.97%",143.8,"$276,100 7.39%",-,- -,-,- -
Adjala-Tosorontio,130.8,"$412,000 8.55%",130.6,"$411,800 8.56%",-,- -,-,- -,-,- -
Bradford West Gwillimbury,149.7,"$372,100 11.30%",135.4,"$414,700 11.07%",155.4,"$323,100 12.12%",-,- -,-,- -
Essa,138.4,"$313,900 6.30%",136.7,"$338,100 6.38%",141.1,"$240,400 6.49%",-,- -,-,- -
Innisfil,135.0,"$250,100 0.60%",135.5,"$251,500 0.52%",143.5,"$223,200 2.14%",-,- -,-,- -
New Tecumseth,129.0,"$298,000 6.00%",126.7,"$326,300 5.76%",133.6,"$255,600 5.86%",-,- -,-,- -
