Region,ComIndex,Benchmark Yr./Yr. % Chg.,SFDIndex,Benchmark Yr./Yr. % Chg..1,SFAIndex,Benchmark Yr./Yr. % Chg..2,THIndex,Benchmark Yr./Yr. % Chg..3,ApaIndex,Benchmark Yr./Yr. % Chg..4
Whitchurch-Stouffville,159.5,"$601,400 4.80%",159.4,"$611,700 5.56%",144.2,"$396,100 0.70%",-,- -,-,- -
Durham Region,135.8,"$319,500 5.85%",135.6,"$353,600 5.94%",140.6,"$281,600 7.00%",125.6,"$206,400 5.46%",127.4,"$227,900 6.61%"
Ajax,141.7,"$350,200 6.54%",143.5,"$384,300 6.85%",148.3,"$318,900 5.55%",129.7,"$237,000 9.18%",123.7,"$210,000 7.10%"
Brock,125.7,"$238,300 3.12%",126.0,"$239,500 3.03%",134.1,"$213,700 4.60%",-,- -,-,- -
Clarington,133.7,"$282,900 7.91%",131.4,"$315,800 7.79%",137.6,"$262,700 10.34%",139.6,"$249,900 -2.38%",125.0,"$176,900 4.08%"
Oshawa,130.5,"$249,700 6.44%",129.8,"$276,400 6.48%",135.9,"$227,600 7.77%",109.7,"$146,800 0.83%",130.8,"$156,500 0.08%"
Pickering,140.2,"$379,300 5.10%",140.7,"$440,100 3.15%",144.4,"$336,600 4.64%",136.9,"$247,000 8.48%",128.5,"$251,600 10.49%"
Scugog,135.9,"$352,700 9.95%",139.5,"$359,200 9.93%",125.7,"$263,100 6.26%",-,- -,-,- -
Uxbridge,132.5,"$405,100 5.41%",133.0,"$411,900 4.48%",130.6,"$320,500 5.75%",-,- -,-,- -
Whitby,136.4,"$355,900 4.04%",136.6,"$392,400 5.24%",138.6,"$305,800 7.19%",128.3,"$235,200 9.01%",130.1,"$253,800 3.83%"
Dufferin County,142.5,"$326,600 5.24%",145.8,"$332,200 1.60%",144.0,"$269,900 4.35%",-,- -,-,- -
Orangeville,142.5,"$326,600 5.24%",145.8,"$332,200 1.60%",144.0,"$269,900 4.35%",-,- -,-,- -
Simcoe County,139.4,"$296,200 4.26%",136.0,"$299,900 3.82%",145.7,"$279,800 4.82%",-,- -,-,- -
Adjala-Tosorontio,126.0,"$396,800 -3.45%",126.0,"$397,300 -3.15%",-,- -,-,- -,-,- -
Bradford West Gwillimbury,150.8,"$374,800 3.50%",135.9,"$416,300 2.33%",156.5,"$325,400 4.96%",-,- -,-,- -
Essa,138.8,"$314,800 4.05%",135.8,"$335,900 1.95%",142.9,"$243,400 5.85%",-,- -,-,- -
Innisfil,139.4,"$258,300 4.42%",140.2,"$260,200 4.94%",146.7,"$228,200 1.17%",-,- -,-,- -
New Tecumseth,129.7,"$299,600 4.68%",126.9,"$326,900 3.59%",135.1,"$258,400 5.88%",-,- -,-,- -
