,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Brock,203.8,"370,700",5.16%,204.8,"373,800",5.13%,-,-,-,-,-,-,-,-,-
Clarington,247.6,"522,900",5.68%,238.9,"575,300",5.34%,246.2,"470,300",5.67%,287.2,"449,900",1.81%,231.8,"343,300",11.50%
Oshawa,258.3,"492,700",8.90%,247.6,"528,400",9.17%,275.5,"461,100",9.07%,289.4,"359,400",5.39%,248.7,"344,800",13.46%
Pickering,253.0,"677,900",6.08%,243.7,"759,000",4.01%,258.9,"604,200",5.63%,256.7,"458,400",8.91%,290.4,"541,700",13.84%
Scugog,228.8,"597,400",8.49%,236.3,"612,100",8.15%,214.7,"449,300",4.83%,-,-,-,-,-,-
Uxbridge,225.3,"688,600",1.67%,223.8,"691,100",1.54%,227.0,"557,000",2.58%,-,-,-,-,-,-
Whitby,245.3,"638,400",6.19%,244.8,"704,100",5.25%,250.6,"552,100",6.59%,212.4,"386,700",8.26%,233.3,"422,800",10.26%
Dufferin County,268.0,"614,300",3.59%,280.0,"638,100",3.55%,261.9,"490,800",5.82%,-,-,-,-,-,-
Orangeville,268.0,"614,300",3.59%,280.0,"638,100",3.55%,261.9,"490,800",5.82%,-,-,-,-,-,-
Simcoe County,249.4,"546,400",4.79%,233.8,"527,000",-0.26%,269.2,"499,000",10.96%,-,-,-,-,-,-
Adjala-Tosorontio,233.7,"703,200",9.00%,233.7,"704,900",9.10%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,264.7,"645,100",6.82%,235.7,"644,800",1.77%,278.5,"578,800",8.11%,-,-,-,-,-,-
Essa,259.4,"502,800",6.71%,244.5,"493,200",0.74%,276.1,"428,900",13.48%,-,-,-,-,-,-
Innisfil,259.8,"500,900",5.78%,245.6,"472,800",-0.49%,269.8,"412,500",10.39%,-,-,-,-,-,-
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Tecumseth,238.2,"566,000",11.94%,231.1,"586,100",11.70%,251.2,"455,400",13.61%,-,-,-,-,-,-
