"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
Richmond Hill,269.2,"$966,300",0.19%,"284.5 $1,209,000 -0.70%",266.2,"$809,000 0.34%",235.8,"$597,800 -1.01%",239.4,"$487,200",7.60%
Vaughan,252.6,"$913,400",1.90%,"245.4 $1,020,100 1.91%",256.8,"$777,900 1.74%",262.1,"$712,700 -1.02%",230.6,"$532,100",3.78%
Whitchurch-Stouffville,261.3,"$900,500",4.23%,"258.5 $927,300 2.87%",235.0,"$645,500 4.63%",220.4,"$395,600 5.56%",251.7,"$559,300",5.27%
Durham Region,244.7,"$571,500",3.69%,"238.9 $620,800 2.89%",252.1,"$503,500 4.17%",253.8,"$402,500 6.77%",253.4,"$430,000",7.65%
Ajax,245.8,"$604,800",3.02%,"244.3 $655,400 2.56%",251.0,"$541,600 3.38%",232.4,"$424,800 4.36%",245.0,"$397,100",8.31%
Brock,199.0,"$362,000",1.07%,"200.0 $365,000 1.01%",-,- -,-,- -,-,-,-
Clarington,242.4,"$511,900",2.84%,"234.5 $564,700 2.13%",237.9,"$454,500 2.15%",279.0,"$437,100 5.32%",232.0,"$343,600",8.36%
Oshawa,250.1,"$477,000",5.35%,"239.6 $511,300 4.45%",266.8,"$446,600 6.59%",279.9,"$347,600 8.32%",247.0,"$342,400",8.67%
Pickering,249.8,"$669,300",3.44%,"242.2 $754,400 1.85%",258.1,"$602,300 4.11%",243.1,"$434,100 5.79%",286.7,"$534,800",7.02%
Scugog,229.8,"$600,000",5.22%,"238.1 $616,800 5.31%",210.1,"$439,700 -0.05%",-,- -,-,-,-
Uxbridge,222.7,"$680,700",-1.15%,"221.5 $684,000 -1.12%",220.6,"$541,300 -1.87%",-,- -,-,-,-
Whitby,243.3,"$633,200",3.31%,"243.2 $699,500 2.53%",249.5,"$549,600 4.35%",206.5,"$376,000 4.24%",234.5,"$425,000",6.30%
Dufferin County,267.0,"$612,000",6.59%,"278.5 $634,700 6.50%",261.0,"$489,100 8.70%",-,- -,-,-,-
Orangeville,267.0,"$612,000",6.59%,"278.5 $634,700 6.50%",261.0,"$489,100 8.70%",-,- -,-,-,-
Simcoe County,246.2,"$539,400",-0.24%,"226.3 $510,100 -7.14%",260.8,"$483,400 3.62%",-,- -,-,-,-
Adjala-Tosorontio,224.4,"$675,200",0.40%,"224.4 $676,800 0.54%",-,- -,-,- -,-,-,-
Bradford West,249.1,"$607,100",-0.95%,"231.5 $633,300 -2.03%",275.6,"$572,800 6.25%",-,- -,-,-,-
EGswsiallimbury,257.8,"$499,700",-0.39%,"240.0 $484,200 -6.83%",265.7,"$412,700 1.88%",-,- -,-,-,-
Innisfil,263.3,"$507,700",4.44%,"246.8 $475,200 -2.99%",256.9,"$392,800 7.04%",-,- -,-,-,-
New Tecumseth,226.5,"$538,200",1.52%,"220.0 $558,000 0.32%",240.5,"$436,000 2.56%",-,- -,-,-,-
