,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Brock,244.7,"428,000",17.47%,246.6,"431,800",17.65%,671.3,"378,600",16.83%,-,-,-,-,-,-
Clarington,276.9,"584,600",15.52%,267.4,"644,000",15.16%,279.7,"534,300",19.48%,311.1,"487,400",12.92%,253.5,"375,400",13.27%
Oshawa,290.8,"554,500",16.88%,278.0,"593,300",16.37%,313.4,"524,500",18.49%,330.2,"411,200",18.14%,273.0,"378,500",14.80%
Pickering,284.6,"760,000",12.85%,272.0,"847,400",11.43%,290.4,"677,600",12.51%,302.7,"518,300",13.67%,318.0,"593,200",16.57%
Scugog,253.2,"649,800",9.33%,261.9,"666,300",9.31%,236.4,"494,800",10.62%,-,-,-,-,-,-
Uxbridge,250.6,"766,000",12.93%,249.3,"769,900",13.01%,247.4,"607,100",10.30%,-,-,-,-,-,-
Whitby,277.1,"719,600",15.60%,274.8,"790,300",15.32%,285.3,"628,500",17.75%,277.5,"466,300",12.39%,249.1,"451,300",9.64%
Dufferin County,306.6,"702,700",18.15%,320.0,"729,300",18.12%,303.7,"569,100",19.94%,-,-,-,-,-,-
Orangeville,306.6,"702,800",18.15%,320.0,"729,300",18.12%,303.7,"569,100",19.94%,-,-,-,-,-,-
Simcoe County,283.2,"620,400",14.52%,265.6,"598,700",13.89%,297.5,"551,300",19.77%,-,-,-,-,-,-
Adjala-Tosorontio,262.0,"788,400",17.28%,262.3,"791,200",17.41%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,294.9,"718,600",14.93%,308.0,"842,500",27.59%,311.8,"647,900",17.66%,-,-,-,-,-,-
Essa,298.2,"578,000",14.91%,291.7,"588,500",17.10%,304.9,"473,500",21.28%,-,-,-,-,-,-
Innisfil,290.7,"560,600",13.25%,261.1,"502,800",7.58%,295.7,"452,100",15.37%,-,-,-,-,-,-
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Tecumseth,253.9,"603,300",11.07%,250.8,"636,100",13.38%,277.4,"502,900",14.87%,-,-,-,-,-,-
