,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C09,195.0,"1,387,400",1.40%,146.0,"1,834,100",2.10%,155.9,"1,268,600",-1.08%,289.3,"1,708,600",4.55%,220.4,"730,200",0.69%
Toronto C10,298.5,"1,179,900",5.22%,275.0,"1,697,800",2.96%,260.6,"1,287,500",2.24%,283.5,"950,300",7.59%,310.5,"741,500",5.40%
Toronto C11,296.5,"1,049,900",8.89%,219.6,"1,495,900",2.43%,250.0,"1,160,000",0.56%,235.3,"407,600",5.94%,353.8,"513,700",11.89%
Toronto C12,232.6,"1,984,500",5.25%,208.7,"2,236,700",1.36%,281.0,"1,176,100",6.84%,209.7,"839,000",5.54%,297.0,"931,200",8.35%
Toronto C13,283.3,"1,029,300",9.47%,254.6,"1,357,800",0.71%,232.6,"742,100",2.74%,252.1,"728,800",8.38%,311.8,"637,000",16.65%
Toronto C14,297.6,"973,200",8.45%,274.0,"1,482,200",2.43%,212.9,"1,036,800",-1.66%,326.9,"880,300",9.08%,299.7,"754,700",9.46%
Toronto C15,274.4,"890,500",10.87%,304.6,"1,430,200",6.76%,248.8,"808,900",7.06%,294.2,"704,200",6.90%,264.2,"614,300",14.03%
Toronto E01,374.2,"1,165,300",8.37%,360.6,"1,272,400",6.50%,369.1,"1,164,300",6.83%,424.5,"776,400",7.22%,380.6,"833,700",14.47%
Toronto E02,310.5,"1,162,800",6.59%,270.0,"1,230,100",6.01%,334.9,"1,121,500",8.66%,336.5,"969,200",4.37%,275.1,"752,100",1.21%
Toronto E03,298.3,"917,600",9.19%,306.7,"1,034,000",9.54%,284.1,"930,400",9.78%,-,-,-,283.3,"414,000",7.43%
Toronto E04,303.5,"750,100",11.50%,277.9,"819,300",9.67%,292.6,"705,100",12.58%,273.7,"593,300",5.55%,357.0,"549,700",14.20%
Toronto E05,284.3,"746,000",14.22%,275.7,"970,900",7.74%,265.7,"732,200",8.76%,285.5,"620,900",12.31%,292.9,"575,300",21.79%
Toronto E06,289.9,"808,400",6.70%,294.7,"841,800",8.07%,291.9,"694,200",6.34%,-,-,-,262.6,"555,300",0.57%
Toronto E07,299.9,"735,100",12.49%,294.9,"966,600",9.10%,283.7,"741,800",9.79%,292.1,"632,800",9.77%,305.7,"523,500",14.75%
Toronto E08,300.7,"725,600",9.39%,280.0,"872,800",7.78%,250.1,"648,400",7.85%,304.1,"620,700",10.06%,338.2,"539,600",11.69%
Toronto E09,298.3,"713,200",14.33%,279.6,"793,900",10.12%,271.0,"662,800",11.94%,330.3,"613,800",14.37%,313.1,"587,300",18.37%
Toronto E10,298.1,"835,400",12.24%,276.6,"886,200",9.50%,273.5,"709,200",10.73%,371.1,"647,900",16.15%,301.3,"486,100",15.26%
Toronto E11,313.2,"685,000",16.91%,300.2,"835,000",10.37%,301.1,"682,000",11.52%,242.9,"476,700",13.24%,387.3,"578,000",27.61%
