,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Scugog,262.7,"674,200",11.79%,271.6,"690,900",11.63%,253.0,"529,500",20.42%,-,-,-,-,-,-
Uxbridge,260.3,"795,600",16.88%,258.8,"799,200",16.84%,261.9,"642,700",18.72%,-,-,-,-,-,-
Whitby,286.3,"743,500",16.67%,283.4,"815,100",16.53%,294.9,"649,700",18.20%,290.6,"488,300",17.13%,256.3,"464,300",9.30%
Dufferin County,311.2,"713,300",16.55%,325.3,"741,400",16.80%,309.8,"580,600",18.70%,-,-,-,-,-,-
Orangeville,311.2,"713,300",16.55%,325.3,"741,300",16.80%,309.8,"580,500",18.70%,-,-,-,-,-,-
Simcoe County,295.8,"648,000",20.15%,271.8,"612,700",20.11%,311.0,"576,400",19.25%,-,-,-,-,-,-
Adjala-Tosorontio,273.2,"822,100",21.75%,273.6,"825,300",21.93%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,302.2,"736,400",21.32%,296.4,"810,700",28.03%,319.1,"663,100",15.78%,-,-,-,-,-,-
Essa,312.6,"605,900",21.26%,308.7,"622,800",28.63%,321.5,"499,300",21.00%,-,-,-,-,-,-
Innisfil,305.6,"589,300",16.07%,292.1,"562,500",18.35%,317.1,"484,800",23.43%,-,-,-,-,-,-
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Tecumseth,266.6,"633,500",17.70%,262.9,"666,800",19.50%,293.5,"532,100",22.04%,-,-,-,-,-,-
