,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C11,304.0,"1,076,400",11.60%,229.8,"1,565,400",9.90%,264.5,"1,227,300",10.99%,266.3,"461,300",19.04%,361.7,"525,200",12.93%
Toronto C12,238.7,"2,036,600",8.85%,215.0,"2,304,300",5.91%,284.7,"1,191,600",11.38%,227.7,"911,000",15.35%,296.7,"930,300",6.84%
Toronto C13,278.2,"1,010,800",6.51%,265.5,"1,415,900",5.57%,243.6,"777,200",7.03%,273.7,"791,300",15.97%,290.4,"593,300",6.45%
Toronto C14,293.3,"959,200",7.00%,284.8,"1,540,600",7.80%,222.0,"1,081,100",4.77%,316.2,"851,500",4.49%,293.0,"737,900",7.05%
Toronto C15,273.1,"886,300",10.17%,306.2,"1,437,700",10.03%,250.2,"813,400",11.05%,304.4,"728,600",11.58%,258.8,"601,800",9.57%
Toronto E01,388.5,"1,209,800",9.62%,385.4,"1,359,900",12.43%,391.0,"1,233,400",10.17%,434.5,"794,700",8.44%,369.9,"810,200",7.16%
Toronto E02,317.2,"1,187,900",7.02%,279.5,"1,273,400",8.92%,344.3,"1,152,900",9.68%,339.6,"978,100",4.91%,272.5,"745,000",-4.22%
Toronto E03,305.7,"940,300",13.39%,313.4,"1,056,600",14.21%,287.2,"940,500",13.79%,-,-,-,298.2,"435,700",8.24%
Toronto E04,315.9,"780,700",15.46%,287.5,"847,600",13.55%,304.3,"733,300",14.48%,283.8,"615,200",6.61%,379.5,"584,400",20.90%
Toronto E05,282.1,"740,200",11.15%,285.9,"1,006,800",10.81%,277.0,"763,300",11.51%,290.7,"632,200",12.33%,275.4,"540,900",10.91%
Toronto E06,306.5,"854,700",13.14%,314.6,"898,700",17.74%,315.0,"749,200",18.07%,-,-,-,264.3,"558,900",-6.61%
Toronto E07,305.0,"747,600",12.13%,302.7,"992,200",12.11%,295.9,"773,700",14.07%,302.5,"655,300",10.52%,306.9,"525,600",11.64%
Toronto E08,312.9,"755,100",13.78%,293.5,"914,800",14.92%,266.2,"690,100",17.22%,326.2,"665,800",14.14%,346.0,"552,000",12.16%
Toronto E09,300.7,"718,900",13.51%,288.3,"818,600",12.97%,283.6,"693,600",15.85%,332.4,"617,700",12.11%,309.4,"580,400",14.42%
Toronto E10,300.5,"842,200",12.59%,281.0,"900,300",10.02%,282.3,"732,000",12.92%,361.5,"631,100",15.83%,301.3,"486,100",15.80%
Toronto E11,317.1,"693,500",12.77%,305.1,"848,600",10.10%,308.5,"698,800",11.01%,255.0,"500,500",16.17%,386.5,"576,800",15.86%
