,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
Toronto C15,270.7,"878,500",9.20%,301.0,"1,413,300",3.40%,247.4,"804,300",3.73%,299.8,"717,600",12.83%,257.3,"598,300",10.48%
Toronto E01,381.3,"1,187,400",7.77%,374.6,"1,321,800",8.74%,383.8,"1,210,600",8.69%,434.4,"794,500",9.61%,361.3,"791,400",3.76%
Toronto E02,318.3,"1,192,000",5.54%,280.9,"1,279,700",6.72%,342.9,"1,148,200",7.26%,334.1,"962,300",4.24%,277.7,"759,200",-0.75%
Toronto E03,304.5,"936,700",9.49%,309.9,"1,044,800",9.12%,288.7,"945,400",8.94%,-,-,-,300.8,"439,500",9.62%
Toronto E04,320.9,"793,100",15.22%,293.4,"865,000",16.11%,310.7,"748,800",17.07%,281.7,"610,700",6.70%,383.8,"591,000",16.59%
Toronto E05,285.1,"748,100",11.63%,290.1,"1,021,600",11.11%,283.3,"780,700",11.98%,291.8,"634,600",10.66%,277.1,"544,300",12.28%
Toronto E06,305.0,"850,500",12.84%,312.4,"892,400",16.18%,311.1,"739,900",15.61%,-,-,-,266.6,"563,800",-1.84%
Toronto E07,304.7,"746,900",11.69%,303.3,"994,100",11.63%,294.5,"770,000",12.75%,294.9,"638,900",7.90%,309.4,"529,900",12.14%
Toronto E08,313.6,"756,700",12.40%,293.4,"914,500",13.94%,263.4,"682,900",14.62%,321.1,"655,400",12.27%,350.2,"558,700",10.79%
Toronto E09,298.4,"713,400",10.89%,291.1,"826,500",13.27%,288.4,"705,300",16.38%,331.1,"615,300",10.40%,301.9,"566,300",8.79%
Toronto E10,305.2,"855,300",14.48%,285.1,"913,500",13.86%,288.5,"748,100",15.86%,372.6,"650,500",15.46%,303.9,"490,300",12.76%
Toronto E11,316.7,"692,700",13.11%,307.5,"855,300",10.97%,313.4,"709,900",12.90%,254.0,"498,500",15.25%,382.6,"571,000",15.94%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
