"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
Ajax,182.4,"$450,700",13.22%,"180.8 $484,200 12.86%",190.2,"$409,100 13.42%",173.7,"$317,400 12.35%",152.9,"$259,600",5.74%
Brock,143.0,"$270,200",6.64%,"143.6 $271,900 6.37%",-,- -,-,- -,-,-,-
Clarington,168.9,"$357,400",15.05%,"161.7 $388,600 13.55%",175.0,"$334,100 16.67%",161.8,"$289,600 -0.31%",160.9,"$227,700",5.16%
Oshawa,167.7,"$321,200",14.08%,"167.4 $356,600 15.45%",177.6,"$297,500 15.25%",140.8,"$188,400 9.57%",151.8,"$204,900",1.81%
Pickering,179.0,"$484,000",8.75%,"178.6 $558,100 8.37%",187.8,"$437,700 10.47%",175.7,"$315,400 9.40%",166.6,"$326,200",6.32%
Scugog,159.9,"$415,000",3.70%,"163.8 $421,800 3.34%",157.1,"$328,800 7.60%",-,- -,-,-,-
Uxbridge,163.1,"$498,700",9.32%,"162.9 $504,500 8.53%",158.0,"$387,700 9.19%",-,- -,-,-,-
Whitby,173.4,"$452,400",11.80%,"175.0 $502,700 11.54%",178.3,"$392,800 12.92%",163.2,"$299,200 11.48%",153.1,"$298,600",4.15%
Dufferin County,173.8,"$398,300",11.70%,"180.8 $412,000 11.95%",169.1,"$317,000 10.81%",-,- -,-,-,-
Orangeville,173.8,"$398,300",11.70%,"180.8 $412,000 11.95%",169.1,"$317,000 10.81%",-,- -,-,-,-
Simcoe County,172.7,"$368,200",13.99%,"166.5 $368,900 12.88%",181.5,"$348,300 15.38%",-,- -,-,-,-
Adjala-Tosorontio,150.3,"$533,400",17.51%,"150.3 $533,400 17.51%",-,- -,-,- -,-,-,-
Bradford West,192.9,"$479,400",14.21%,"173.0 $529,900 12.56%",193.7,"$402,700 12.35%",-,- -,-,-,-
GEswsiallimbury,171.7,"$402,200",17.68%,"169.3 $428,100 17.49%",175.0,"$298,100 18.08%",-,- -,-,-,-
Innisfil,166.4,"$307,800",10.20%,"166.4 $308,400 9.98%",182.8,"$284,400 11.80%",-,- -,-,-,-
New Tecumseth,162.6,"$375,600",19.65%,"158.4 $408,000 19.64%",170.1,"$324,800 19.45%",-,- -,-,-,-
