,,Composite,,,Single-Family Detached,,,Single-Family Attached,,,Townhouse,,,Apartment,,
King,,174.1,"$738,100",7.34%,175.1,"$738,800",6.90%,-,-,-,-,-,-,-,-,-
Markham,,205.4,"$706,900",14.24%,211.5,"$869,400",15.26%,210.0,"$625,400",15.64%,185.1,"$459,800",10.18%,163.0,"$375,800",2.32%
Newmarket,,179.1,"$528,200",11.87%,177.6,"$597,900",12.26%,185.1,"$436,500",11.71%,173.5,"$350,300",12.30%,159.0,"$267,800",7.94%
Richmond Hill,,206.7,"$749,500",12.40%,219.3,"$932,200",13.27%,211.2,"$640,400",10.87%,168.6,"$471,900",6.44%,157.6,"$328,300",4.93%
Vaughan,,191.3,"$691,500",9.56%,183.8,"$765,100",9.47%,197.4,"$600,700",9.67%,189.7,"$518,300",13.12%,164.5,"$365,100",8.37%
Whitchurch-Stouffville,,197.1,"$743,100",14.46%,196.3,"$753,300",13.47%,177.7,"$488,100",15.09%,-,-,-,-,-,-
Durham Region,,162.9,"$383,200",11.35%,161.8,"$421,700",11.13%,170.6,"$341,800",12.61%,147.6,"$242,000",7.74%,157.0,"$282,200",12.14%
Ajax,,171.6,"$424,100",12.16%,171.1,"$458,300",12.20%,179.0,"$385,000",12.23%,156.0,"$285,100",11.51%,149.7,"$254,200",10.40%
Brock,,134.6,"$254,400",3.94%,135.4,"$256,400",4.07%,0.0,$0,0.00%,-,-,-,-,-,-
Clarington,,160.9,"$340,500",13.79%,153.7,"$369,400",11.78%,166.4,"$317,700",15.00%,162.5,"$290,900",2.01%,157.2,"$222,500",13.01%
Oshawa,,154.9,"$296,700",9.86%,154.9,"$329,900",10.33%,163.3,"$273,600",11.70%,129.9,"$173,800",6.30%,151.2,"$204,000",8.23%
Pickering,,170.2,"$460,200",10.45%,171.2,"$535,000",9.81%,178.0,"$414,900",11.67%,159.9,"$287,100",9.97%,164.6,"$322,300",14.07%
Scugog,,151.6,"$393,400",8.60%,155.6,"$400,700",8.36%,143.9,"$301,200",6.59%,-,-,-,-,-,-
Uxbridge,,152.9,"$467,500",7.68%,153.3,"$474,800",7.88%,146.1,"$358,500",5.03%,-,-,-,-,-,-
Whitby,,165.5,"$431,800",12.59%,166.9,"$479,500",12.77%,170.2,"$375,000",13.62%,147.2,"$269,900",5.22%,152.3,"$297,100",10.36%
Dufferin County,,160.4,"$367,600",6.01%,166.7,"$379,900",6.93%,157.1,"$294,500",5.72%,-,-,-,-,-,-
Orangeville,,160.4,"$367,600",6.01%,166.7,"$379,900",6.93%,157.1,"$294,500",5.72%,-,-,-,-,-,-
Simcoe County,,156.6,"$333,900",6.10%,151.6,"$335,900",5.72%,163.7,"$314,200",6.71%,-,-,-,-,-,-
Adjala-Tosorontio,,137.4,"$487,600",7.60%,137.4,"$487,600",7.60%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,,172.8,"$429,500",5.95%,156.0,"$477,800",5.83%,176.1,"$366,100",4.88%,-,-,-,-,-,-
Essa,,155.2,"$363,500",6.81%,153.9,"$389,200",7.47%,156.4,"$266,400",8.16%,-,-,-,-,-,-
Innisfil,,152.9,"$282,800",4.80%,152.8,"$283,200",4.44%,168.0,"$261,300",6.40%,-,-,-,-,-,-
New Tecumseth,,146.4,"$338,100",7.73%,143.1,"$368,600",7.59%,152.0,"$290,200",7.73%,-,-,-,-,-,-
Scugog,151.6,"$393,400 ",8.60%,,,,,,,,,,,,,
Uxbridge,152.9,"$467,500 ",7.68%,,,,,,,,,,,,,
Whitby,165.5,"$431,800 ",12.59%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dufferin County,160.4,"$367,600 ",6.01%,,,,,,,,,,,,,
Orangeville,160.4,"$367,600 ",6.01%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Simcoe County,156.6,"$333,900 ",6.10%,,,,,,,,,,,,,
Adjala-Tosorontio,137.4,"$487,600 ",7.60%,,,,,,,,,,,,,
Bradford West Gwillimbury,172.8,"$429,500 ",5.95%,,,,,,,,,,,,,
Essa,155.2,"$363,500 ",6.81%,,,,,,,,,,,,,
Innisfil,152.9,"$282,800 ",4.80%,,,,,,,,,,,,,
New Tecumseth,146.4,"$338,100 ",7.73%,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
