,,Composite,,,Single-Family Detached,,,Single-Family Attached,,,Townhouse,,,Apartment,,
Pickering,,174.8,"$472,600",11.48%,174.2,"$544,300",10.46%,181.7,"$423,500",12.44%,174.1,"$312,500",15.60%,161.1,"$315,400",8.56%
Scugog,,155.6,"$403,800",5.28%,159.9,"$411,800",5.20%,150.4,"$314,800",4.81%,-,-,-,-,-,-
Uxbridge,,156.5,"$478,500",6.61%,156.6,"$485,000",6.31%,150.8,"$370,000",5.09%,-,-,-,-,-,-
Whitby,,170.2,"$444,100",14.00%,172.3,"$495,000",15.25%,174.5,"$384,500",14.80%,154.9,"$284,000",10.80%,149.6,"$291,800",6.86%
Dufferin County,,164.4,"$376,800",6.06%,170.6,"$388,700",7.03%,161.3,"$302,300",5.84%,-,-,-,-,-,-
Orangeville,,164.4,"$376,800",6.06%,170.6,"$388,700",7.03%,161.3,"$302,300",5.84%,-,-,-,-,-,-
Simcoe County,,164.6,"$350,900",10.62%,159.4,"$353,200",10.31%,170.9,"$328,000",9.97%,-,-,-,-,-,-
Adjala-Tosorontio,,139.2,"$494,000",10.04%,139.2,"$494,000",10.04%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,,181.4,"$450,900",9.67%,162.7,"$498,400",8.61%,183.2,"$380,900",7.96%,-,-,-,-,-,-
Essa,,160.7,"$376,400",9.99%,158.9,"$401,800",10.42%,162.8,"$277,300",10.07%,-,-,-,-,-,-
Innisfil,,162.6,"$300,800",10.84%,162.8,"$301,700",10.60%,177.0,"$275,300",11.95%,-,-,-,-,-,-
New Tecumseth,,150.5,"$347,600",10.42%,146.9,"$378,400",10.37%,156.7,"$299,200",9.81%,-,-,-,-,-,-
Scugog,155.6,"$403,800 ",5.28%,,,,,,,,,,,,,
Uxbridge,156.5,"$478,500 ",6.61%,,,,,,,,,,,,,
Whitby,170.2,"$444,100 ",14.00%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dufferin County,164.4,"$376,800 ",6.06%,,,,,,,,,,,,,
Orangeville,164.4,"$376,800 ",6.06%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Simcoe County,164.6,"$350,900 ",10.62%,,,,,,,,,,,,,
Adjala-Tosorontio,139.2,"$494,000 ",10.04%,,,,,,,,,,,,,
Bradford West Gwillimbury,181.4,"$450,900 ",9.67%,,,,,,,,,,,,,
Essa,160.7,"$376,400 ",9.99%,,,,,,,,,,,,,
Innisfil,162.6,"$300,800 ",10.84%,,,,,,,,,,,,,
New Tecumseth,150.5,"$347,600 ",10.42%,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
