Region,Unnamed: 1,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
Richmond Hill,,174.1,"$630,400",7.27%,182.0,"$771,100",6.81%,178.5,"$540,700",7.85%,143.7,"$406,300",3.75%,151.0,"$314,500",5.67%
Vaughan,,164.6,"$595,000",5.72%,158.3,"$658,800",3.80%,168.9,"$514,200",6.09%,160.5,"$438,500",4.29%,144.2,"$320,000",3.74%
Whitchurch-Stouffville,,159.3,"$600,600",3.24%,160.6,"$616,300",4.35%,139.6,"$383,400",-0.64%,-,-,-,-,-,-
Durham Region,,139.7,"$328,700",6.64%,139.2,"$363,000",6.91%,144.0,"$288,400",7.14%,130.3,"$214,200",4.83%,136.1,"$243,500",8.36%
Ajax,,145.4,"$359,300",6.13%,144.7,"$387,600",4.93%,151.2,"$325,200",5.00%,135.8,"$248,200",9.16%,133.8,"$227,200",9.49%
Brock,,125.4,"$237,700",5.64%,126.0,"$239,500",5.79%,134.3,"$214,000",2.44%,-,-,-,-,-,-
Clarington,,136.8,"$289,500",9.88%,133.7,"$321,300",10.50%,140.4,"$268,100",10.38%,145.0,"$259,600",2.47%,138.1,"$195,400",11.73%
Oshawa,,134.7,"$257,800",8.54%,134.5,"$286,400",9.26%,139.8,"$234,100",9.99%,112.5,"$150,500",0.27%,137.0,"$163,900",3.40%
Pickering,,145.6,"$393,900",6.36%,146.4,"$458,000",5.78%,148.9,"$347,100",5.23%,142.2,"$256,500",8.63%,138.3,"$270,800",10.46%
Scugog,,141.0,"$365,900",6.09%,145.5,"$374,700",6.52%,128.9,"$269,800",5.05%,-,-,-,-,-,-
Uxbridge,,134.3,"$410,600",6.67%,135.6,"$420,000",6.77%,130.5,"$320,200",4.07%,-,-,-,-,-,-
Whitby,,140.0,"$365,300",4.01%,140.5,"$403,600",5.01%,141.9,"$313,000",6.13%,133.0,"$243,800",1.60%,133.1,"$259,600",3.34%
Dufferin County,,146.7,"$336,200",3.38%,150.3,"$342,500",3.02%,146.4,"$274,400",1.95%,-,-,-,-,-,-
Orangeville,,146.7,"$336,200",3.38%,150.3,"$342,500",3.02%,146.4,"$274,400",1.95%,-,-,-,-,-,-
Simcoe County,,139.7,"$296,900",2.12%,136.3,"$300,600",1.94%,144.3,"$277,100",0.35%,-,-,-,-,-,-
Adjala-Tosorontio,,129.2,"$406,900",-1.22%,129.1,"$407,100",-1.15%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,,153.8,"$382,300",2.74%,138.7,"$424,900",2.44%,158.2,"$328,900",1.80%,-,-,-,-,-,-
Essa,,136.6,"$309,800",-1.30%,135.0,"$333,900",-1.24%,138.6,"$236,100",-1.77%,-,-,-,-,-,-
Innisfil,,139.0,"$257,500",2.96%,139.9,"$259,700",3.25%,145.1,"$225,700",1.11%,-,-,-,-,-,-
New Tecumseth,,128.2,"$296,100",-0.62%,125.5,"$323,300",-0.95%,133.5,"$255,400",-0.07%,-,-,-,-,-,-
