Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
Oshawa,129.3,"$247,400 ",7.39%,128.2,"$273,000 ",7.37%,134.5,"$225,200 ",8.03%,111.9,"$149,700 ",4.19%,134.5,"$161,000 ",4.43%
Pickering,140.3,"$379,500 ",7.18%,141.2,"$441,700 ",5.29%,144,"$335,600 ",6.12%,135.9,"$245,200 ",10.76%,129.8,"$254,100 ",14.36%
Scugog,134.6,"$349,300 ",12.07%,138.3,"$356,100 ",12.17%,122.8,"$257,000 ",3.89%,-,-,-,-,-,-
Uxbridge,128.5,"$392,900 ",2.47%,129.3,"$400,500 ",1.73%,126.3,"$309,900 ",2.18%,-,-,-,-,-,-
Whitby,134.6,"$351,200 ",4.42%,134.4,"$386,100 ",4.92%,136.1,"$300,300 ",7.08%,127.2,"$233,200 ",1.27%,131.5,"$256,500 ",7.70%
Dufferin County,140.2,"$321,300 ",3.77%,143.5,"$327,000 ",0.21%,142,"$266,200 ",2.90%,-,-,-,-,-,-
Orangeville,140.2,"$321,300 ",3.77%,143.5,"$327,000 ",0.21%,142,"$266,200 ",2.90%,-,-,-,-,-,-
Simcoe County,138,"$293,300 ",5.91%,134.9,"$297,500 ",5.39%,143.3,"$275,200 ",6.31%,-,-,-,-,-,-
Adjala-Tosorontio,122.1,"$384,600 ",-3.55%,122.1,"$385,000 ",-3.17%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,148.7,"$369,600 ",7.36%,134,"$410,500 ",5.51%,153.2,"$318,500 ",7.28%,-,-,-,-,-,-
Essa,135.1,"$306,400 ",3.29%,132.1,"$326,800 ",1.62%,139.4,"$237,500 ",4.65%,-,-,-,-,-,-
Innisfil,140,"$259,400 ",6.87%,140.6,"$261,000 ",7.08%,149.1,"$231,900 ",7.97%,-,-,-,-,-,-
New Tecumseth,126.4,"$292,000 ",3.69%,123.5,"$318,100 ",2.92%,132.2,"$252,900 ",5.00%,-,-,-,-,-,-
