Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
Whitchurch-Stouffville,161.4,"$608,500 ",5.08%,161.3,"$619,000 ",5.77%,145.7,"$400,200 ",1.25%,-,-,-,-,-,-
Durham Region,138,"$324,700 ",5.67%,137.7,"$359,100 ",5.68%,142.6,"$285,600 ",6.10%,127.5,"$209,600 ",4.85%,127.7,"$228,500 ",3.65%
Ajax,142.5,"$352,100 ",4.93%,143.6,"$384,600 ",4.51%,149.3,"$321,100 ",5.14%,129.1,"$235,900 ",6.34%,124.2,"$210,900 ",3.67%
Brock,127.4,"$241,500 ",3.92%,127.9,"$243,100 ",3.90%,131.8,"$210,000 ",0.08%,-,-,-,-,-,-
Clarington,137,"$289,900 ",8.64%,134.5,"$323,200 ",9.62%,141.3,"$269,800 ",8.69%,146.3,"$261,900 ",2.16%,126.6,"$179,200 ",2.93%
Oshawa,133,"$254,500 ",7.09%,132.3,"$281,700 ",7.30%,137.5,"$230,300 ",7.17%,114.1,"$152,700 ",2.61%,131.5,"$157,400 ",-0.75%
Pickering,141.8,"$383,600 ",4.19%,143,"$447,300 ",3.10%,146.6,"$341,700 ",3.82%,134.7,"$243,000 ",4.50%,129.3,"$253,200 ",7.66%
Scugog,137.8,"$357,600 ",5.76%,141.7,"$364,900 ",5.75%,123,"$257,400 ",2.16%,-,-,-,-,-,-
Uxbridge,134.8,"$412,200 ",5.07%,136.2,"$421,900 ",4.85%,130.5,"$320,200 ",4.23%,-,-,-,-,-,-
Whitby,139.1,"$362,900 ",4.43%,139.2,"$399,900 ",5.06%,140.6,"$310,200 ",6.03%,133.8,"$245,300 ",10.21%,128.1,"$249,900 ",-1.00%
Dufferin County,146.2,"$335,100 ",2.96%,149.8,"$341,300 ",2.25%,146.8,"$275,200 ",1.45%,-,-,-,-,-,-
Orangeville,146.2,"$335,100 ",2.96%,149.8,"$341,300 ",2.25%,146.8,"$275,200 ",1.45%,-,-,-,-,-,-
Simcoe County,143.1,"$304,100 ",5.38%,140.1,"$309,000 ",5.34%,146.5,"$281,300 ",4.05%,-,-,-,-,-,-
Adjala-Tosorontio,126.5,"$398,400 ",-2.54%,126.5,"$398,900 ",-2.39%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbur,155,"$385,200 ",3.96%,139.8,"$428,200 ",4.10%,160,"$332,600 ",3.49%,-,-,-,-,-,-
Essa,140.2,"$317,900 ",3.62%,136.9,"$338,600 ",2.09%,142.8,"$243,300 ",4.01%,-,-,-,-,-,-
Innisfil,145,"$268,600 ",6.77%,146.3,"$271,600 ",7.18%,146,"$227,100 ",3.69%,-,-,-,-,-,-
New Tecumseth,129.9,"$300,000 ",3.84%,127.1,"$327,400 ",3.17%,135,"$258,200 ",4.49%,-,-,-,-,-,-
