,Composite,,,Single-Family Detached,,,Single-Family Attached,,,Townhouse,,,Apartment,,
Toronto C15,151.8,"$507,500",0.60%,172.1,"$806,700",1.65%,158.8,"$518,200",-0.06%,163.1,"$401,800",1.62%,127.1,"$297,000",-0.31%
Toronto E01,182.9,"$568,000",5.11%,179.8,"$605,700",3.16%,187.5,"$588,300",8.70%,198.1,"$400,600",7.49%,177.3,"$420,600",-7.90%
Toronto E02,162.4,"$604,100",-0.92%,154.1,"$678,700",-3.63%,169.7,"$566,000",0.71%,159.2,"$532,200",1.47%,159.4,"$421,800",0.82%
Toronto E03,156.9,"$483,300",-0.70%,159.5,"$535,800",-2.68%,158.4,"$515,800",5.32%,-,-,-,126.5,"$189,200",-4.46%
Toronto E04,148.6,"$373,000",2.34%,157.3,"$464,500",1.48%,153.3,"$372,000",2.00%,148.6,"$321,200",0.95%,137.2,"$207,800",5.13%
Toronto E05,146.1,"$390,700",1.60%,160.4,"$566,400",1.78%,158.3,"$436,300",1.74%,148.4,"$322,600",4.95%,129.9,"$255,200",-0.38%
Toronto E06,164.5,"$464,800",2.75%,165.8,"$473,900",2.92%,168.8,"$399,200",5.11%,-,-,-,144.5,"$318,600",0.56%
Toronto E07,154.1,"$379,900",4.76%,159.8,"$523,000",1.85%,158.0,"$413,000",1.22%,158.9,"$343,600",10.65%,141.4,"$242,100",12.22%
Toronto E08,144.9,"$355,100",2.69%,157.9,"$492,900",3.47%,149.1,"$381,600",5.74%,142.9,"$289,300",2.66%,118.9,"$189,800",-0.17%
Toronto E09,141.4,"$341,400",2.54%,150.1,"$427,200",2.81%,143.2,"$351,400",0.07%,130.6,"$240,700",2.75%,133.1,"$249,600",2.15%
Toronto E10,149.7,"$423,800",5.72%,153.1,"$490,100",5.66%,154.7,"$402,400",5.02%,141.9,"$248,500",10.43%,103.3,"$166,500",4.55%
Toronto E11,143.7,"$316,800",8.86%,161.3,"$447,900",13.27%,152.3,"$345,600",11.41%,116.5,"$228,900",3.83%,116.5,"$173,900",-3.16%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
